content_id,actor_id
2,10664
2,11866
2,10064
2,22047
2,4022
2,34852
2,10515
2,31618
2,22847
2,9029
2,15722
2,20639
2,24852
2,30752
2,4649
2,3667
2,18145
2,24589
2,35040
3,15980
3,18632
3,10443
3,20822
3,10342
3,30197
3,7831
3,3656
3,17600
5,27663
5,820
5,16751
5,17075
5,5653
5,14522
5,7009
5,12293
6,32663
6,12756
6,25179
6,10055
6,12061
6,2277
6,18284
6,15304
6,32971
6,32428
6,5984
6,13195
6,25152
6,31520
6,5673
6,19591
7,29425
7,36311
7,35958
7,26326
7,2162
7,8096
7,34511
7,19860
7,20412
7,11452
8,24191
8,27999
8,11052
8,1476
8,20125
8,20600
8,20913
8,5841
9,18905
9,119
9,23356
9,7716
10,35451
10,10993
10,7451
10,32031
10,2963
10,14885
10,9187
10,11573
10,12661
10,28821
10,8953
12,21148
12,27488
12,31430
12,8601
12,21870
12,34749
12,20953
12,7437
12,24598
12,24140
12,20888
12,20422
12,4555
12,24917
12,36391
12,33608
12,17026
12,19092
12,34107
12,20309
12,13054
12,7100
12,21530
12,30144
12,601
13,2962
13,21583
13,21208
13,3133
13,34245
13,15244
13,24777
13,23624
13,29033
13,19498
13,14782
14,8394
14,33795
14,22146
14,29889
14,8501
14,32295
14,11536
14,24493
14,4236
14,24985
16,27957
16,31052
16,1474
16,17147
16,10243
16,13118
16,8040
16,9628
18,13385
18,17284
18,2528
18,1417
18,23698
18,208
18,31817
18,15371
18,30524
18,7946
18,18695
18,5732
19,8358
19,5472
19,29956
19,16893
19,31268
19,32799
19,31208
19,16097
19,15494
19,32292
20,27575
20,34811
20,20613
20,21014
20,23070
20,5735
20,8717
20,4498
22,23621
22,3923
22,4695
22,34265
22,3344
22,22708
22,22433
22,3690
22,23558
22,8459
23,24677
23,19451
23,31139
23,34954
23,5854
23,13891
24,23044
24,22660
24,35685
24,3178
25,29000
25,26744
25,35863
25,5854
26,11099
27,4914
27,29133
27,3761
27,5854
27,13891
27,9407
28,4408
28,20336
28,1985
28,16250
28,1441
28,31845
28,17567
28,18325
28,24262
28,29666
28,33138
29,17556
29,9775
29,23227
29,9747
29,15618
29,6473
29,22730
29,11484
29,23800
29,3666
30,6480
30,4064
30,16002
30,34920
30,17117
30,9443
30,23779
30,1911
30,21083
30,1976
31,3012
31,21954
31,29847
31,23132
31,10938
31,9712
31,4642
32,1962
32,36294
32,28010
32,31813
32,15308
32,8104
32,27476
32,34389
32,3816
32,20894
32,22016
33,7063
33,15225
33,34434
33,26001
33,33442
33,12778
33,12318
34,33900
34,686
34,34524
34,8526
34,16504
34,29892
34,30015
34,36187
34,21482
34,5534
35,23600
35,36350
35,25190
35,3203
35,32176
36,14903
36,30296
36,23294
36,23943
36,32369
36,24561
36,14701
36,15952
36,18799
36,29744
37,19215
37,15782
37,14353
37,32047
37,19717
37,17570
37,9478
37,36258
37,8591
37,7581
38,23190
38,35243
38,9185
38,31451
38,11209
39,32840
39,28776
39,29552
39,26467
39,29675
39,31328
39,28964
39,32632
39,16689
40,20614
40,29714
40,32592
40,35
40,27228
40,888
40,20123
41,9306
41,22772
41,29940
41,249
41,23430
41,1642
41,20861
41,35593
41,34554
41,22190
41,16229
42,8535
42,30059
42,21083
42,597
42,27037
42,9969
42,21325
42,5664
42,3053
42,19383
43,8535
43,597
43,27037
43,16816
43,21325
43,22754
43,13986
43,35088
43,35316
43,1774
44,17063
44,6457
44,34792
44,26181
44,8770
44,6259
44,25370
44,7428
44,20587
44,19576
45,597
45,18401
45,2451
45,7706
45,33184
45,3985
45,1608
45,29799
47,2732
47,5146
47,19631
47,10114
47,373
47,6593
47,26788
47,13138
47,14463
47,1742
48,21043
48,31496
48,33928
48,23808
48,15476
48,4385
48,2308
48,14487
48,9196
48,29150
49,2732
49,8502
49,17955
49,28127
49,34763
49,34384
49,29735
49,33544
49,33540
49,30716
49,3210
50,28378
50,22844
50,23379
50,20007
50,22119
50,10108
50,32995
50,20633
50,17626
50,15703
50,30287
50,27182
50,25588
50,15760
51,23097
51,1411
51,32036
51,10480
51,35144
51,14309
51,15472
51,20705
51,33012
52,21213
52,25069
52,18162
52,9909
52,2
52,3783
52,31209
52,27697
52,219
52,29848
53,21213
53,25069
53,9909
53,2
53,3783
53,11963
53,5245
53,16025
54,21213
54,25069
54,9909
54,2
54,3783
54,31209
54,11963
54,33848
54,6483
54,1842
55,21213
55,25069
55,9909
55,2
55,3783
55,27697
55,31209
55,3885
55,11963
55,3351
56,25481
56,15716
57,34595
57,31293
57,5276
57,12997
57,31925
57,35208
57,3024
57,31767
57,6213
57,400
58,34595
58,31293
58,223
58,4550
58,3437
58,12997
58,5276
58,24196
58,29497
58,24857
58,22978
59,34595
59,31293
59,12997
59,24857
59,24196
59,19884
59,35678
59,29085
59,29497
59,22978
59,4663
59,8244
59,36329
60,34595
60,31293
60,4663
60,8244
60,8411
60,7506
60,32828
60,19218
60,24166
60,17573
60,32829
60,32538
60,15587
60,400
60,5775
60,17301
60,12997
60,24196
60,18696
60,4290
60,31586
61,34595
61,31293
61,24857
61,5276
61,31432
61,28649
61,5775
61,19544
61,12002
61,28630
61,12187
61,10739
61,35148
61,219
62,34595
62,30761
62,31293
62,24196
62,15993
62,18026
62,10885
62,6484
62,2
62,26631
63,34595
63,31293
63,4663
63,12997
63,5245
63,5645
63,12850
63,35637
63,22466
63,6585
64,34595
64,223
64,31293
64,12997
64,24742
64,20361
64,30587
64,36420
64,5950
64,19487
65,1392
65,20396
65,9454
66,31541
66,31770
66,12
66,28504
68,991
68,18421
68,25448
68,35051
68,10627
68,25483
68,26919
69,21464
71,29351
72,33122
72,35632
72,25873
72,16229
72,7707
72,8045
72,26254
72,27854
72,1352
73,15352
73,3477
74,27912
74,19839
74,15729
74,3041
74,23808
74,10779
74,8641
74,7266
76,10386
76,31006
77,20645
77,29085
77,4507
77,28721
77,24196
77,19884
77,32828
77,28006
77,5832
77,18541
77,26206
77,33377
77,9630
77,17573
77,24857
77,6208
77,15887
77,30402
77,3162
77,19003
77,23587
77,3024
77,1462
77,12969
77,4290
77,7132
77,34499
78,10234
78,32626
78,16099
78,4656
78,14066
78,10041
78,27496
78,16321
79,24512
79,25024
79,1480
80,24512
80,25024
80,1480
81,33514
81,19194
81,33258
81,18734
81,21088
81,27900
81,28216
82,25756
82,27738
82,8994
82,34043
82,1995
82,12711
82,22964
83,7484
83,32705
83,30086
83,34053
83,17778
83,24173
83,22833
83,33952
83,10990
83,6684
83,26473
83,19621
83,3634
84,12802
85,18058
85,30942
85,28531
85,6412
85,20007
85,22119
85,21501
85,15666
85,1233
85,15512
86,19411
86,8945
86,13554
86,1753
86,21821
86,17499
86,144
86,23761
86,34535
86,2378
87,1370
87,22535
87,7322
87,28202
87,1867
87,25996
87,16379
87,2067
88,14685
88,35973
88,32637
88,36351
88,14816
89,16711
89,31762
90,29714
90,26192
90,35
90,32592
90,29689
90,13461
90,27228
91,5527
91,16752
91,16740
91,23551
91,7590
91,5464
91,22719
91,17761
93,1524
93,3094
93,3379
93,9412
93,17771
93,30174
93,32574
93,9393
93,19789
93,20086
93,31505
94,15471
94,10434
94,19248
94,9051
94,10273
94,19761
94,3294
94,27734
94,554
94,5429
95,17310
95,28093
95,11626
95,16580
95,13309
95,24203
95,6890
95,16136
95,5232
95,33810
95,34161
95,36246
96,21157
97,9738
97,22759
97,1395
97,24031
97,16309
97,4298
97,3405
97,22519
97,6780
97,32362
98,33392
98,35593
98,10418
98,10248
98,12721
98,1642
98,12626
99,33023
99,1470
99,23463
99,28504
99,2016
99,20991
99,28769
99,21344
99,24406
99,28742
99,14637
99,18256
99,12843
100,32159
100,25165
100,4494
100,24810
100,5640
100,7104
100,23012
100,14181
101,34463
101,36325
101,18903
